"year","month","day","PM2.5","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","WSPM","season"
2013,3,1,7.54166666666667,15.9565217391304,12.35,339.130434782609,78.2173913043478,0.0166666666666666,1023.78333333333,-21.9416666666667,0,2.93333333333333,"Spring"
2013,3,2,32.7083333333333,40.0112,49.8534875,765.173913043478,35.0050166666667,-0.991666666666667,1023.6875,-16.2416666666667,0,1.575,"Spring"
2013,3,3,57.625,38.2916666666667,48.0434782608696,945.833333333333,27.8333333333333,3.9125,1011.3875,-12.475,0,1.77083333333333,"Spring"
2013,3,4,19.1052631578947,25.7083333333333,35.125,524.958333333333,55.9166666666667,7.10833333333333,1014.4875,-13.1,0,1.8875,"Spring"
2013,3,5,106.142857142857,52,68.4782608695652,1345.31818181818,87.9583333333333,5.68333333333333,1007.92083333333,-8.64583333333333,0,1.325,"Spring"
2013,3,6,167.625,65.7916666666667,86.5833333333333,2095.625,80.375,5.46666666666667,1004.475,-5.59583333333333,0,1.2375,"Spring"
2013,3,7,206.416666666667,64,121.666666666667,2466.375,63.5833333333333,7.62916666666667,999.4,-3.99166666666667,0,1.33333333333333,"Spring"
2013,3,8,194.875,58.5577666666667,88.8104625,2303.91304347826,85.7916666666667,8.81666666666667,996.516666666667,-2.75416666666667,0,2.31666666666667,"Spring"
2013,3,9,52.125,29.5652173913043,33.4347826086956,804.347826086957,102.5,6.19583333333333,1001.3,-11.9,0,3.97083333333333,"Spring"
2013,3,10,43.625,32.25,46.5833333333333,762.5,90.5416666666667,3.73333333333333,1017.325,-14.1416666666667,0,1.74166666666667,"Spring"
2013,3,11,119.541666666667,73,72.375,1295.66666666667,70.9583333333333,4.87916666666667,1010.8125,-8.55416666666667,0,1.39583333333333,"Spring"
2013,3,12,106.541666666667,29.8333333333333,81.75,1208.16666666667,41.875,4.9375,1005.85833333333,-0.708333333333333,0.0583333333333333,1.62916666666667,"Spring"
2013,3,13,10.5833333333333,15.0833333333333,19.25,322.727272727273,85.4583333333333,2.44583333333333,1019.5625,-13.3416666666667,0,2.74583333333333,"Spring"
2013,3,14,108,32.4583333333333,78.2083333333333,1470.58333333333,79.25,1.99583333333333,1018.56666666667,-4.95416666666667,0,1.5625,"Spring"
2013,3,15,220.833333333333,49.5833333333333,102.041666666667,2021.47826086957,45.375,4.20416666666667,1011.425,-2.3,0,1.15833333333333,"Spring"
2013,3,16,236,48.375,83.0833333333333,2038.91304347826,77.7083333333333,8.2,1013.62916666667,-0.958333333333333,0,1.74583333333333,"Spring"
2013,3,17,280.291666666667,65.8333333333333,105.541666666667,2521.4347826087,99.6666666666667,8.09166666666667,998.970833333333,1.15416666666667,0,1.36666666666667,"Spring"
2013,3,18,95.4166666666667,10.25,32.7083333333333,799.916666666667,87.7916666666667,7.28333333333333,998.183333333333,-10.775,0,3.69583333333333,"Spring"
